LanguageName;LanguageNameAlt;LanguageId
Arabic;Araba;0
Bulgarian;Bulgara;1
Chinese;Chineza;2
Croatian;Croata;3
Czech;Ceha;4
Danish;Daneza;5
Dutch;Olandeza;6
Finnish;Finlandeza;7
German;Germana;8
Greek;Greaca;9
Hebrew;Ebraica;10
Hungarian;Maghiara;11
Italian;Italiana;12
Japanese;Japoneza;13
Norwegian;Norvegiana;14
Polish;Poloneza;15
Portuguese;Portugheza;16
Romanian;Romana;17
Russian;Rusa;18
Serbian;Sarba;19
Slovak;Slovaca;20
Slovenian;Slovena;21
Spanish;Spaniola;22
Swedish;Suedeza;23
Turkish;Turca;24
Ukrainian;Ucraineana;25
